srp,price_info,room_info,size_info,main_info,possession_info,nearby_places,Airport,Hospital,Market
srp-1505,,"3 BHK, 3 BHK","1408 sq.ft, 0 sq.ft","Price on RequestSai Roshan Seven Heaven2By  Sai Roshan Infrastructure3 BHK Villa for sale in Vani ViharSizes1408 sq.ft.LocalityUtkal Univarsity, Vani Vihar,Bhubaneswar Sai Roshan Infrastructure has lauched Sai Roshan Seven Heaven in Vani Vihar, Bhubaneswar . A residential project spread over 0.22 Acres, it offers ample amount of facilities for residents. Popular configurations include 3 BHK units. As per the area plan, units are in the size of 1408.0 sq.ft.. The address of Sai Roshan Seven Heaven is Naharkanta.Enjoy a host of facilities at Sai Roshan Seven Heaven which in...more5",,"PG Department Of Statistics, Utkal University, Bhubaneswaris 0.1 km awaySparsh Hospitalsis 0.1 km awaymore...SRSai Roshan InfrastructureDeveloperView PhoneContact Developer",No,Yes,No
srp-1506,,"2, 3 BHK, 2 BHK, 3 BHK",1686 sq.ft,"Price on RequestMaa Basudha Heights5RERABy  Maa Basudha Home and Commercials2, 3 BHK Flats for sale in ChandrasekharpurSizes1337 - 1686 sq.ft.LocalityDistrict Center, Chandrasekharpur,Bhubaneswar Property for sale in Chandrasekharpur, Bhubaneswar . This project, that is, Maa Basudha Heights is a well designed project by Maa Basudha Home and Commercials. If you are looking at Apartment, you should check out Maa Basudha Heights. Set in an expanse of 0.54 Acres, the property offers a remarkable lifestyle. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size of 1337...more5",,ODM Public Schoolis 0.8 km awayAhana Gynaecare & IVFis 0.5 km awaymore...MBMaa Basudha Home and CommercialsDeveloperView PhoneContact Developer,No,No,No
srp-1507,,"2, 3 BHK, 2 BHK, 3 BHK","1712 sq.ft, 0 sq.ft","Price on RequestKamdhenu Krishna PlazaBy  Kamdhenu Promoters2, 3 BHK Flats for sale in DumdumaSizes1151 - 1712 sq.ft.LocalityDumduma, Bhubaneswar Kamdhenu Krishna Plaza is a residential project in Dumduma, Bhubaneswar . Kamdhenu Krishna Plaza offers Apartment. Available configurations include 2 BHK, 3 BHK. Apartment, as per the area plan, are in the size of 1151.0 sq.ft.. There is 1 building for sale. Kamdhenu Krishna Plaza is located in Dumduma, Patrapada. The project is developed by Kamdhenu Promoters.Kamdhenu Krishna Plaza is equipped with various...more5",,Sri Satya Sai Vidyalayais 1.2 km awayUCHC Dumudumais 0.3 km awaymore...KPKamdhenu PromotersDeveloperView PhoneContact Developer,No,No,No
srp-1508,,"5 BHK, 4 BHK, 5 BHK","4031 sq.ft, 0 sq.ft","Price on RequestSanskriti Clover VillasBy  Sanskriti Estates4, 4.5 BHK Villas for sale in PatiaSizes3320 - 4031 sq.ft.LocalitySishu Vihar, Patia,Bhubaneswar Sanskriti Clover Villas is a project by Sanskriti Estates in Bhubaneswar . Sanskriti Clover Villas offers some of the most conveniently designed Villa. Located in Patia, it is a residential project. Sanskriti Clover Villas offers some of the most exclusive 4 BHK, 4.5 BHK. As per the area plan, units are in the size of 3320.0 sq.ft.. The address of Sanskriti Clover Villas is Patia.Sanskriti Clover Villas ens...more5",,"Shemrock cherish pre school and day careis 0.4 km awayDr. Bhumika Mishra, MBBS,MD Gold Medalist, Psychiatrist (Smile health Care)is 0.5 km awaymore...SESanskriti EstatesDeveloperView PhoneContact Developer",No,No,No
srp-1509,,"5 BHK, 3 BHK, 5 BHK","1750 sq.ft, 0 sq.ft","Price on RequestZillion Om Paradise Phase IIBy  Zillion Developers Bhubaneswar3, 4.5 BHK Villas for sale in RasulgarhSizes1250 - 1750 sq.ft.LocalityJagannath Nagar, Rasulgarh,Bhubaneswar Property for sale in Rasulgarh, Bhubaneswar . This project, that is, Zillion Om Paradise Phase II is a well designed project by Zillion Developers Bhubaneswar. If you are looking at Villa, you should check out Zillion Om Paradise Phase II. Available configurations include 3 BHK, 4.5 BHK. As per the area plan, units are in the size of 1250.0 sq.ft.. Zillion Om Paradise Phase II is located in Jharapada.Come h...more5",,Vivekananda Shiksha Kendrais 0.6 km awaySpandan Oral Cancer Clinicis 0.9 km awaymore...ZDZillion Developers BhubaneswarDeveloperView PhoneContact Developer,No,Yes,No
srp-1510,,"2, 3 BHK, 2 BHK, 3 BHK","2045 sq.ft, 0 sq.ft","Price on RequestPremier Royale HeightsBy  Premier Assets Pvt Ltd	2, 3 BHK Flats for sale in ChandrasekharpurSizes1532 - 2045 sq.ft.LocalityRail Vihar, Chandrasekharpur,Bhubaneswar Premier Royale Heights is a residential project in Chandrasekharpur, Bhubaneswar . Premier Royale Heights offers Apartment. Available configurations include 2 BHK, 3 BHK. Apartment, as per the area plan, are in the size of 1532.0 sq.ft.. Premier Royale Heights is located in Chandrasekharpur. The project is developed by Premier Assets Pvt Ltd.Premier Royale Heights is equipped with various resident-centric a...more5",,"Bachpan Play School, Maitri Viharis 0.6 km awayKalinga Hospital Ltd.is 1.7 km awaymore...PAPremier Assets Pvt Ltd	DeveloperView PhoneContact Developer",No,Yes,No
srp-1511,,"2 BHK, 2 BHK","1200 sq.ft, 0 sq.ft","Price on RequestSulabh Pratham ResidencyRERABy  Sulabh Enterprises Pvt. Ltd.2 BHK Flat for sale in KesoraSizes1100 - 1200 sq.ft.LocalityKesora, Bhubaneswar Sulabh Pratham Residency is a project by Sulabh Enterprises Pvt. Ltd. in Bhubaneswar . Sulabh Pratham Residency offers some of the most conveniently designed Apartment. Located in Kesora, it is a residential project. Sulabh Pratham Residency offers some of the most exclusive 2 BHK. As per the area plan, units are in the size of 1100.0 sq.ft.. The address of Sulabh Pratham Residency is Kesora, Khordha.Sulabh...more5",,D.A.V. PUBLIC SCHOOLis 0.1 km awayUPHC Jharapadais 0.1 km awaymore...SESulabh Enterprises Pvt. Ltd.DeveloperView PhoneContact Developer,No,No,No
srp-1512,,,"2500 sq.ft, 0 sq.ft","Price on RequestRJ Highway CityBy  RJ Estcon Pvt LtdResidential Plots for sale in HanspalPlot area2500 sq.ftCorner PlotNoParkingNoRJ Highway City is a residential plot by RJ Estcon Pvt Ltd. This plot is available for sale in Hanspal, Bhubaneswar . The plot area is 2500.0 sq.ft.. The address of RJ Highway City is Hanspal.RJ Highway City ensures a coveted lifestyle and offers a convenient living.Check out RJ Highway City brochure for more details.Hanspal is well-connected to other parts of city by road, which passes through the heart of...more5",,Odisha State Brigade Schoolis 0.1 km awayHi-Tech Medical Pandara Maa Tairini Nadia Raniis 2.5 km awaymore...RERJ Estcon Pvt LtdDeveloperView PhoneContact Developer,No,Yes,No
srp-1513,,"2, 3 BHK, 2 BHK, 3 BHK","1049 sq.ft, 0 sq.ft","Price on RequestEssen Satyavati EnclaveRERABy  Essen2, 3 BHK Flats for sale in BaragarhSizes766 - 1049 sq.ft.LocalityBaragarh, Bhubaneswar Essen Satyavati Enclave is a project by Essen in Bhubaneswar . Essen Satyavati Enclave offers some of the most conveniently designed Apartment. Located in Baragarh, it is a residential project. The project is spread over 1.17 Acres. Essen Satyavati Enclave offers some of the most exclusive 2 BHK, 3 BHK. As per the area plan, units are in the size of 766.0 sq.ft.. The address of Essen Satyavati Enclave is Ba...more5",,Sai Binapani Gyana Mandiris 1.3 km awayVIKASH HOSPITAL BHUBANESWARis 0.7 km awaymore...EEssenDeveloperView PhoneContact Developer,No,Yes,No
srp-1514,,,"1282 sq.ft, 0 sq.ft","Price on RequestSripati Dwarika NagarBy  Sripati PatroResidential Plots for sale in HanspalPlot area1282 sq.ftCorner PlotNoParkingNoSripati Dwarika Nagar is a residential plot by Sripati Patro. This plot is available for sale in Hanspal, Bhubaneswar . The plot area is 1282.0 sq.ft.. The address of Sripati Dwarika Nagar is Hanspal.Sripati Dwarika Nagar ensures a coveted lifestyle and offers a convenient living. Other provisions include access to Landscaping & Tree Planting.Check out Sripati Dwarika Nagar brochure for more details.Hanspal...more5",,"Project U. P. Vidyalaya, Hanspalis 0.1 km awayNaharkanta UPHCis 4.7 km awaymore...SPSripati PatroDeveloperView PhoneContact Developer",No,No,No
srp-1515,,"2, 3 BHK, 2 BHK, 3 BHK","1450 sq.ft, 0 sq.ft","Price on RequestAddwell Group Somu Residency Phase 2By  Addwell Group2, 3 BHK Flats for sale in KalarahangaSizes1120 - 1450 sq.ft.LocalityKalarahanga, Bhubaneswar Property for sale in Kalarahanga, Bhubaneswar . This project, that is, Addwell Group Somu Residency Phase 2 is a well designed project by Addwell Group. If you are looking at Apartment, you should check out Addwell Group Somu Residency Phase 2. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 1120.0 - 1450.0 sq.ft.. There is 1 building  in this project. Add...more5",,Matrubhoomi Public Schoolis 0.3 km awayThe BrainTreeis 2.8 km awaymore...AGAddwell GroupDeveloperView PhoneContact Developer,No,No,No
srp-1516,,,"1200 sq.ft, 0 sq.ft, 0 sq.ft","Price on RequestMatrusakti Aiims ValleyBy  Matrusakti EastconResidential Plots for sale in PatrapadaPlot area1200 sq.ftCorner PlotNoParkingNoMatrusakti Aiims Valley is a residential plot by Matrusakti Eastcon. This plot is available for sale in Patrapada, Bhubaneswar . This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 3000.0 sq.ft.. The address of Matrusakti Aiims Valley is Patrapada.Matrusakti Aiims Valley ensures a coveted lifestyle and offers a convenient living.The firm has since then ...more5",,Doon International School Bhubaneswar- Best CBSE School in Odishais 0.7 km awayAIIMS Hospitalis 1.8 km awaymore...MEMatrusakti EastconDeveloperView PhoneContact Developer,No,Yes,No
srp-1517,,"3 BHK, 3 BHK","1513 sq.ft, 0 sq.ft","Price on RequestAryavumi Shanti VatikaBy  Aryavumi Developers Pvt Ltd3 BHK Villa for sale in BenupurSizes1513 sq.ft.LocalityBenupur, Bhubaneswar Check out this residential project for sale by Aryavumi Developers Pvt Ltd in Benupur, Bhubaneswar . Aryavumi Shanti Vatika offers Villa as property type. The project has been developed in an area of 0.03 Acres. Available configurations include 3 BHK. As per the area plan, units are in the size of 1513.0 sq.ft.. Altogether, there are 27 units available. The address of Aryavumi Shanti Vatika is Benupur, Bali...more5",,Acharya Harihar Govt High School Benupuris 1.4 km awayHi-tech Medical College and Hospitalis 7.3 km awaymore...ADAryavumi Developers Pvt LtdDeveloperView PhoneContact Developer,No,Yes,No
srp-1518,,,"1200 sq.ft, 0 sq.ft","Price on RequestHK City 23.8By  HK DevelopersResidential Plots for sale in RasulgarhPlot area1200 sq.ftCorner PlotNoParkingNoHK City 2 is a residential plot by HK Developers. This plot is available for sale in Rasulgarh, Bhubaneswar . The plot area is 1200.0 sq.ft.. The address of HK City 2 is Hanspal.HK City 2 ensures a coveted lifestyle and offers a convenient living.Check out HK City 2 brochure for more details.Rasulgarh is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent...more5",,St. Xavier International Schoolis 1.2 km awayNaharkanta UPHCis 3.5 km awaymore...HDHK DevelopersDeveloperView PhoneContact Developer,No,No,No
srp-1519,,"2, 3 BHK, 2 BHK, 3 BHK","421 sq.ft, 0 sq.ft","Price on RequestEvos Paras ResidencyRERABy  Evos Buildcon Pvt. Ltd.2, 3 BHK Flats for sale in PatrapadaSizes346 - 421 sq.ft.LocalityPatrapada, Bhubaneswar Property for sale in Patrapada, Bhubaneswar . This project, that is, Evos Paras Residency is a well designed project by Evos Buildcon Pvt. Ltd.. If you are looking at Apartment, you should check out Evos Paras Residency. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size of 346.0 sq.ft.. Total number of flats at Evos Paras Residency is 16. Evos Paras Residency is loca...more5",,Saraswati Sishu Vidya Mandiris 0.7 km awayAIIMS Hospitalis 2 km awaymore...Evos Buildcon Pvt. Ltd.DeveloperView PhoneContact Developer,No,Yes,No
